name	use_count
求线段长	3299
勾股定理	3200
分类讨论	2886
相似三角形	1941
求角度	1698
全等三角形	1676
取值范围	1437
求代数式的值	1385
待定系数法	1156
一元一次方程	1093
一元二次方程	1091
圆周角定理	998
求面积	893
利用函数图像	866
配方法	660
构造全等	657
增减性	643
等腰三角形	618
角平分线	613
垂径定理	605
因式分解	583
求函数解析式	582
平行线性质	552
绝对值	497
等面积法	465
数轴	417
交点坐标	383
角度计算	360
旋转	358
角平分线性质	350
二元一次方程组	346
平行四边形性质	342
一元一次不等式	335
代数式求值	311
二次函数	289
幂的运算	288
轴对称	280
规律探究	277
尺规作图	274
换元法	269
平方差公式	262
概率计算	262
完全平方公式	258
有理数运算	250
等边三角形	246
科学记数法	238
平方根	237
等腰三角形性质	233
三角形内角和	229
折叠问题	224
分式方程	224
平移	224
概率	215
相反数	211
斜中线性质	211
等腰直角三角形	210
判别式	207
去绝对值	206
有理数混合运算	201
一元一次不等式组	201
二次函数最值	197
最短路径	196
立方根	190
去分母	185
正方形性质	185
反比例函数	184
中位数	184
求最值	183
最值问题	182
十字相乘法	180
比例线段	179
解直角三角形	168
三角形三边关系	168
菱形性质	162
二次函数性质	161
等边三角形性质	159
列代数式	158
求周长	157
算术平方根	157
方程思想	155
平均数	154
二次根式	152
比较大小	150
代数式表示	149
构造相似	148
三角函数	147
一次函数	147
分组分解法	145
矩形性质	145
二次根式运算	144
代入法	139
面积比	138
求坐标	137
列方程	136
面积法	130
作垂线	129
整数解	128
三视图	128
不等式性质	125
新定义运算	124
整体代入	120
方差	119
比例性质	117
提公因式法	116
面积计算	116
平行线分线段成比例	115
计算方法类	114
垂直平分线	113
众数	113
轴对称图形	112
平行线判定	112
行程问题	111
求线段比	111
对称轴	109
找规律	108
求比值	108
折叠	105
点与圆的位置关系	104
平行四边形判定	104
有理数大小比较	103
弧长公式	103
整式加减	103
代入消元法	101
非负性	99
整式运算	99
新定义	98
最值	96
坐标变换	96
合并同类项	96
扇形面积	93
中点性质	92
方案设计	91
顶点坐标	91
不等式	88
二次根式化简	87
翻折	87
倍长中线	87
旋转构造	85
垂直平分线性质	85
直角三角形	84
位似图形	84
整式乘法	83
折叠性质	83
平行四边形	83
倒数	82
加减消元法	82
比较函数值	80
去括号	78
乘法分配律	78
垂线段最短	78
用样本估计总体	77
多边形内角和	77
作图	76
中位线	76
动点问题	75
中心对称	73
因式分解法	72
圆心角定理	72
无理数估算	71
对称性	71
求三角函数值	69
数轴表示	69
多项式乘法	69
中心对称图形	69
无理数	68
平行线	68
韦达定理	67
增长率问题	67
黄金分割	67
切线性质	65
裂项相消	65
公式法	62
近似数	60
实数的运算	59
分式化简	59
比例	59
两点之间线段最短	59
线段和差	59
象限判断	58
含30°直角三角形	58
反证法	58
二次函数定义	57
简便运算	56
扇形面积公式	56
解一元一次不等式	56
加权平均数	56
菱形判定	56
有理数乘法	54
乘方	54
列不等式	54
二次函数平移	54
圆心角	54
平方法	53
数据分析	53
正多边形	53
角度关系	53
正负数应用	52
零指数幂	51
扇形统计图	50
求弧长	50
整式除法	50
解不等式	49
函数图像	49
中线性质	48
估算	48
垂直	48
无理数识别	47
有理数加减	46
整式化简求值	46
等腰三角形判定	46
解方程组	45
分段计费	45
求距离	45
圆内接四边形	45
外角性质	45
正多边形性质	45
矩形判定	45
有理数加法	44
有理数分类	44
命题与逆命题	44
同类项	44
求交点坐标	44
反例	44
提取公因式	44
解不等式组	43
逆命题	43
根与系数关系	43
勾股定理逆定理	43
中点	43
简便计算	42
程序运算	42
必然事件	42
面积	42
实数比较大小	41
代数式变形	41
高线	41
统计图	41
中线	41
有理数比较大小	41
列方程组	41
正负数	40
命题判断	40
数形结合	39
利润问题	39
等量代换	39
三角形面积	39
正负数意义	39
乘方运算	38
圆内接四边形性质	38
三角形中位线	38
格点作图	38
特殊角三角函数值	37
分母有理化	37
精确度	37
一元二次方程定义	37
解方程	37
SSS	37
旋转构造全等	37
二次函数图像平移	37
用频率估计概率	37
负整数指数幂	36
有理数加减法	35
中位线性质	35
方案选择	35
坐标与图形	35
网格作图	35
列表法或树状图	35
方程与代数类	34
SAS	34
中点坐标	34
重心性质	34
计算方法	33
求面积比	33
二次函数顶点坐标	33
列举法	33
对称	32
有理数减法	32
最简二次根式	32
构造直角三角形	32
直角三角形性质	32
全等三角形判定	32
条形统计图	32
圆的性质	32
三元一次方程组	32
二次函数图像性质	31
有理数	31
数轴动点	31
二次函数对称性	31
二次函数增减性	31
弧长计算	31
根与系数的关系	31
正方形判定	30
相似比	30
一次函数性质	30
正方形	30
求取值范围	30
解一元一次不等式组	30
旋转性质	29
完全平方式	29
相遇问题	29
